"filename", "language", "YAML", "Ini", "JSON with Comments", "C++", "C", "JSON", "ARM", "HTML", "comment", "blank", "total"
"e:\fosi_stuff\E30\proj_by_RTOS\.cmsis\include\cachel1_armv7.h", "C++", 0, 0, 0, 244, 0, 0, 0, 0, 100, 68, 412
"e:\fosi_stuff\E30\proj_by_RTOS\.cmsis\include\cmsis_armcc.h", "C++", 0, 0, 0, 392, 0, 0, 0, 0, 356, 141, 889
"e:\fosi_stuff\E30\proj_by_RTOS\.cmsis\include\cmsis_armclang.h", "C++", 0, 0, 0, 669, 0, 0, 0, 0, 599, 236, 1504
"e:\fosi_stuff\E30\proj_by_RTOS\.cmsis\include\cmsis_armclang_ltm.h", "C++", 0, 0, 0, 981, 0, 0, 0, 0, 593, 355, 1929
"e:\fosi_stuff\E30\proj_by_RTOS\.cmsis\include\cmsis_compiler.h", "C++", 0, 0, 0, 207, 0, 0, 0, 0, 52, 25, 284
"e:\fosi_stuff\E30\proj_by_RTOS\.cmsis\include\cmsis_gcc.h", "C++", 0, 0, 0, 1204, 0, 0, 0, 0, 620, 388, 2212
"e:\fosi_stuff\E30\proj_by_RTOS\.cmsis\include\cmsis_iccarm.h", "C++", 0, 0, 0, 795, 0, 0, 0, 0, 47, 161, 1003
"e:\fosi_stuff\E30\proj_by_RTOS\.cmsis\include\cmsis_version.h", "C++", 0, 0, 0, 13, 0, 0, 0, 0, 23, 4, 40
"e:\fosi_stuff\E30\proj_by_RTOS\.cmsis\include\core_armv81mml.h", "C++", 0, 0, 0, 2483, 0, 0, 0, 0, 769, 977, 4229
"e:\fosi_stuff\E30\proj_by_RTOS\.cmsis\include\core_armv8mbl.h", "C++", 0, 0, 0, 1181, 0, 0, 0, 0, 605, 437, 2223
"e:\fosi_stuff\E30\proj_by_RTOS\.cmsis\include\core_armv8mml.h", "C++", 0, 0, 0, 1821, 0, 0, 0, 0, 729, 660, 3210
"e:\fosi_stuff\E30\proj_by_RTOS\.cmsis\include\core_cm0.h", "C++", 0, 0, 0, 444, 0, 0, 0, 0, 327, 182, 953
"e:\fosi_stuff\E30\proj_by_RTOS\.cmsis\include\core_cm0plus.h", "C++", 0, 0, 0, 530, 0, 0, 0, 0, 346, 212, 1088
"e:\fosi_stuff\E30\proj_by_RTOS\.cmsis\include\core_cm1.h", "C++", 0, 0, 0, 454, 0, 0, 0, 0, 338, 188, 980
